time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1648	1.40408	5.22469	0.289348	0.32335	radar	4.18888	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3934	1.47941	5.2076	0.307369	0.327869	lidar	1.07287	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6283	1.5954	5.19144	0.355936	0.396269	radar	4.05948	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8645	1.60648	5.16994	0.328985	0.324521	lidar	2.42985	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.127	1.65966	5.17942	0.321926	0.284171	radar	1.94578	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.408	1.68148	5.19316	0.294261	0.216482	lidar	2.09733	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6437	1.75064	5.17628	0.306445	0.226184	radar	1.37248	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8799	1.80525	5.16249	0.305301	0.207738	lidar	0.717533	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1289	1.89726	5.17389	0.319594	0.20774	radar	0.910387	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3799	1.90826	5.15917	0.288097	0.142902	lidar	1.21556	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6332	1.96209	5.16432	0.279335	0.112009	radar	0.872576	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8324	2.10828	5.14783	0.335916	0.192755	lidar	3.49035	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0885	2.20702	5.17192	0.342906	0.174384	radar	3.31039	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2901	2.35574	5.15827	0.393677	0.240804	lidar	2.44753	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.473	2.53783	5.13134	0.474059	0.368795	radar	10.5576	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7209	2.63368	5.14015	0.475103	0.340878	lidar	0.711567	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9393	2.76018	5.1346	0.500917	0.359715	radar	0.227419	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1646	2.90152	5.14193	0.526995	0.37107	lidar	0.200401	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4131	2.9944	5.1546	0.505363	0.286428	radar	1.729	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6302	3.06223	5.1269	0.492304	0.249072	lidar	2.78144	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8553	3.20694	5.1416	0.507942	0.238566	radar	3.70066	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0544	3.39751	5.15121	0.558705	0.296215	lidar	0.909034	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2615	3.5692	5.15621	0.598521	0.34296	radar	2.26268	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4695	3.74866	5.1686	0.632243	0.366243	lidar	0.529516	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6842	3.88071	5.16452	0.635944	0.342037	radar	1.04495	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9075	4.01585	5.16677	0.638552	0.320169	lidar	0.294692	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1009	4.19097	5.16354	0.680201	0.38115	radar	1.64642	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2956	4.37932	5.17338	0.711149	0.397295	lidar	0.313444	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5068	4.53676	5.17878	0.715468	0.366416	radar	0.753508	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6873	4.70765	5.17061	0.738169	0.374094	lidar	0.409305	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8319	4.93142	5.16232	0.82049	0.519395	radar	4.21413	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9942	5.14785	5.17055	0.860281	0.538111	lidar	0.248983	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1632	5.33202	5.16402	0.884717	0.542721	radar	1.81781	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3271	5.51164	5.15274	0.903107	0.532621	lidar	0.389973	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4801	5.70259	5.14203	0.934158	0.554794	radar	3.45535	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6855	5.82724	5.11773	0.914131	0.493295	lidar	3.26592	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8187	6.04732	5.11603	0.966532	0.560955	radar	0.933551	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0003	6.22356	5.11142	0.968235	0.525058	lidar	1.14116	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1446	6.4401	5.11574	0.993218	0.519658	radar	0.464399	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2682	6.66283	5.11469	1.02637	0.529786	lidar	0.148611	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3947	6.88699	5.11613	1.05728	0.540025	radar	0.0940169	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.552	7.03525	5.07733	1.05152	0.502072	lidar	4.28076	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7	7.24553	5.0804	1.05104	0.441941	radar	0.632518	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9099	7.38287	5.05357	1.01794	0.370956	lidar	5.85221	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9834	7.61631	5.04093	1.08681	0.486229	radar	4.64334	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0786	7.85309	5.04308	1.12209	0.501193	lidar	0.26174	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
